Date,price
1/4/2016,98.870003
1/5/2016,99.400002
1/6/2016,99.18
1/7/2016,98.220001
1/8/2016,98.540001
1/11/2016,98.730003
1/12/2016,98.970001
1/13/2016,98.93
1/14/2016,99.089996
1/15/2016,98.959999
1/18/2016,99.120003
1/19/2016,98.989998
1/20/2016,99.089996
1/21/2016,99.059998
1/22/2016,99.57
1/25/2016,99.360001
1/26/2016,99.360001
1/27/2016,98.900002
1/28/2016,98.510002
1/29/2016,99.610001
2/1/2016,99
2/2/2016,98.870003
2/3/2016,97.290001
2/4/2016,96.470001
2/5/2016,97.029999
2/8/2016,96.57
2/9/2016,96.07
2/10/2016,95.889999
2/11/2016,95.559998
2/12/2016,95.980003
2/16/2016,96.870003
2/17/2016,96.790001
2/18/2016,96.949997
2/19/2016,96.599998
2/22/2016,97.379997
2/23/2016,97.480003
2/24/2016,97.459999
2/25/2016,97.290001
2/26/2016,98.150002
2/29/2016,98.209999
3/1/2016,98.349998
3/2/2016,98.209999
3/3/2016,97.57
3/4/2016,97.339996
3/7/2016,97.07
3/8/2016,97.209999
3/9/2016,97.169998
3/10/2016,96.07
3/11/2016,96.169998
3/14/2016,96.620003
3/15/2016,96.629997
3/16/2016,95.889999
3/17/2016,94.760002
3/18/2016,94.989998
3/21/2016,95.290001
3/22/2016,95.650002
3/23/2016,96.050003
3/24/2016,96.139999
3/28/2016,95.940002
3/29/2016,95.160004
3/30/2016,94.839996
3/31/2016,94.589996
4/1/2016,94.620003
4/4/2016,94.510002
4/5/2016,94.629997
4/6/2016,94.43
4/7/2016,94.480003
4/8/2016,94.239998
4/11/2016,93.949997
4/12/2016,93.959999
4/13/2016,94.739998
4/14/2016,94.900002
4/15/2016,94.699997
4/18/2016,94.489998
4/19/2016,93.980003
4/20/2016,94.489998
4/21/2016,94.599998
4/22/2016,95.120003
4/25/2016,94.839996
4/26/2016,94.57
4/27/2016,94.389999
4/28/2016,93.760002
4/29/2016,93.080002
5/2/2016,92.629997
5/3/2016,92.940002
5/4/2016,93.18
5/5/2016,93.779999
5/6/2016,93.889999
5/9/2016,94.150002
5/10/2016,94.290001
5/11/2016,93.82
5/12/2016,94.139999
5/13/2016,94.610001
5/16/2016,94.57
5/17/2016,94.550003
5/18/2016,95.080002
5/19/2016,95.290001
5/20/2016,95.309998
5/23/2016,95.230003
5/24/2016,95.57
5/25/2016,95.349998
5/26/2016,95.169998
5/27/2016,95.519997
5/31/2016,95.889999
6/1/2016,95.459999
6/2/2016,95.559998
6/3/2016,94.029999
6/6/2016,93.900002
6/7/2016,93.830002
6/8/2016,93.589996
6/9/2016,94.099998
6/10/2016,94.599998
6/13/2016,94.370003
6/14/2016,94.93
6/15/2016,94.610001
6/16/2016,94.57
6/17/2016,94.209999
6/20/2016,93.610001
6/21/2016,94.019997
6/22/2016,93.720001
6/23/2016,93.529999
6/24/2016,95.449997
6/27/2016,96.540001
6/28/2016,96.25
6/29/2016,95.769997
6/30/2016,96.139999
7/1/2016,95.650002
7/5/2016,96.169998
7/6/2016,96.059998
7/7/2016,96.330002
7/8/2016,96.300003
7/11/2016,96.57
7/12/2016,96.440002
7/13/2016,96.220001
7/14/2016,96.080002
7/15/2016,96.580002
7/18/2016,96.559998
7/19/2016,97.050003
7/20/2016,97.199997
7/21/2016,97
7/22/2016,97.470001
7/25/2016,97.290001
7/26/2016,97.160004
7/27/2016,97.050003
7/28/2016,96.739998
7/29/2016,95.529999
8/1/2016,95.709999
8/2/2016,95.059998
8/3/2016,95.559998
8/4/2016,95.760002
8/5/2016,96.190002
8/8/2016,96.400002
8/9/2016,96.18
8/10/2016,95.650002
8/11/2016,95.860001
8/12/2016,95.720001
8/15/2016,95.629997
8/16/2016,94.790001
8/17/2016,94.720001
8/18/2016,94.160004
8/19/2016,94.510002
8/22/2016,94.519997
8/23/2016,94.540001
8/24/2016,94.790001
8/25/2016,94.769997
8/26/2016,95.57
8/29/2016,95.580002
8/30/2016,96.050003
8/31/2016,96.019997
9/1/2016,95.650002
9/2/2016,95.879997
9/6/2016,94.82
9/7/2016,94.959999
9/8/2016,95.029999
9/9/2016,95.339996
9/12/2016,95.099998
